block,value
1.30256525E7,54.51047176091402
1.30256535E7,57.16415789076055
1.30256545E7,69.71921446542255
1.30256555E7,57.88514199754324
1.30256565E7,61.32348888426889
1.30256575E7,51.4976391165738
1.30256585E7,47.955404795351065
1.30256595E7,73.71254829629137
1.30256605E7,68.42300672912359
1.30256615E7,57.71696029117703
1.30256625E7,63.887966521451766
1.30256635E7,57.84047873934309
1.30256645E7,53.27701435788228
1.30256655E7,50.60862081312825
1.30256665E7,56.41236551874886
1.30256675E7,53.863401721721466
1.30256685E7,63.26287369601893
1.30256695E7,57.70370474722971
1.30256705E7,48.32209200451919
1.30256715E7,0
1.30256725E7,42.26705358231387
1.30256735E7,59.170769147811
1.30256745E7,65.76024496796369
1.30256755E7,54.65758495333658
1.30256765E7,50.36125650106438
1.30256775E7,61.373662132871495
1.30256785E7,42.424568115124806
1.30256795E7,38.77230053471036
1.30256805E7,54.5092184523198
1.30256815E7,75.56820868969749
1.30256825E7,46.294063424222266
1.30256835E7,53.685963634267836
1.30256845E7,56.0685467945304
1.30256855E7,54.641015988096726
1.30256865E7,46.72665032294329
1.30256875E7,47.16423115334895
1.30256885E7,53.93115293705569
1.30256895E7,57.68908931447311
1.30256905E7,62.767688795198445
1.30256915E7,45.62541462553735
1.30256925E7,136.23485151489083
1.30256935E7,48.01384599675601
1.30256945E7,50.316810979983394
1.30256955E7,52.577825315901634
1.30256965E7,47.00270684689535
1.30256975E7,47.59347238220065
1.30256985E7,54.403606678048924
1.30256995E7,55.263659939459295
1.30257005E7,0
1.30257015E7,42.001113161142925
1.30257025E7,53.85271159765265
1.30257035E7,51.31315336285969
1.30257045E7,49.24586929619217
1.30257055E7,51.63437313918637
1.30257065E7,49.25282977347787
1.30257075E7,55.675442965324834
1.30257085E7,44.49155260727573
1.30257095E7,38.5771818820677
1.30257105E7,50.57885450408184
1.30257115E7,49.808636553517346
1.30257125E7,51.141795525762625
1.30257135E7,61.477477432093124
1.30257145E7,47.77687427466151
1.30257155E7,38.088231690928815
1.30257165E7,57.44456943039587
1.30257175E7,50.04584278212789
1.30257185E7,44.56396220921534
1.30257195E7,39.939646565067186
1.30257205E7,50.55739188330181
1.30257215E7,51.17127596365078
1.30257225E7,52.73610207580217
1.30257235E7,43.53201065041533
1.30257245E7,45.265892345034075
1.30257255E7,47.24313342276303
1.30257265E7,0
1.30257275E7,37.468690577158085
1.30257285E7,41.34470765154426
1.30257295E7,47.86478809663574
1.30257305E7,44.19755617577995
1.30257315E7,104.135033496493
1.30257325E7,59.24699857180266
1.30257335E7,34.44311711687566
1.30257345E7,46.36460915363959
1.30257355E7,40.8193201361756
1.30257365E7,207.3347307774533
1.30257375E7,1360.0237999375752
1.30257385E7,1224.4893836610725
1.30257395E7,1361.157361383643
1.30257405E7,1370.0078613250917
1.30257415E7,1237.7460277258954
1.30257425E7,1438.4068103984523
1.30257435E7,1205.4259544545948
1.30257445E7,0
1.30257455E7,1279.5863874527508
1.30257465E7,1124.673381376113
1.30257475E7,1415.4625548003962
1.30257485E7,1249.7309220918155
1.30257495E7,1256.386110257033
1.30257505E7,1205.282597527907
1.30257515E7,1112.8882405993422
1.30257525E7,1219.9477526096882
1.30257535E7,1080.6028148818425
1.30257545E7,1018.391885157912
1.30257555E7,1094.2903599809256
1.30257565E7,934.6302672976439
1.30257575E7,859.6992541062212
1.30257585E7,839.3340343184955
1.30257595E7,992.4478703071761
1.30257605E7,1091.8339711169613
1.30257615E7,880.4702259065775
1.30257625E7,858.8906658490428
1.30257635E7,704.7540507091929
1.30257645E7,902.5931440057359
1.30257655E7,960.914005399656
1.30257665E7,945.6589990436198
1.30257675E7,1130.160607018158
1.30257685E7,941.1530264411044
1.30257695E7,981.7114117956377
1.30257705E7,869.5521718941798
1.30257715E7,872.8866294390032
1.30257725E7,877.2541613526453
1.30257735E7,867.1021812616971
1.30257745E7,850.3372296402044
1.30257755E7,1017.5949532052164
1.30257765E7,815.6001800887838
1.30257775E7,959.0862042729275
1.30257785E7,793.0507243054792
1.30257795E7,690.0210300324476
1.30257805E7,648.2398868080627
1.30257815E7,744.1884029995841
1.30257825E7,526.6134982611242
1.30257835E7,558.0246113650479
1.30257845E7,450.00088736748864
1.30257855E7,380.7266517185334
1.30257865E7,479.94883802878707
1.30257875E7,455.54200508474037
1.30257885E7,347.2907232402833
1.30257895E7,364.38847691688954
1.30257905E7,297.92243395967074
1.30257915E7,415.0439465083873
1.30257925E7,253.79372674820198
1.30257935E7,321.45399785174754
1.30257945E7,247.02775193816726
1.30257955E7,383.3698570940211
1.30257965E7,566.1530471370047
1.30257975E7,267.3101411811567
1.30257985E7,447.6610045392521
